codigo_error,descripcion,archivo
1,NO SE HAN TRASLADADO LOS DATOS DEL CATÁLOGO DE CUENTAS,saldo_cuenta_bco.xml
2,NO EXISTENCIA DE CUENTAS EN EL CATÁLOGO DE LA ENTIDAD,saldo_cuenta_bco.xml
3,DESCRIPCIÓN DE LA CUENTA INCORRECTA,saldo_cuenta_bco.xml
4,CUENTAS CUYO SALDO NO COINCIDE,saldo_cuenta_bco.xml
5,CUENTAS CUYO SALDO DEBE SER CERO AL FINAL DEL MES,saldo_cuenta_bco.xml
6,CUENTAS CUYO SALDO DEBE SER CERO AL FINAL DEL TRIMESTRE,saldo_cuenta_bco.xml
7,CUENTAS CUYO SALDO DEBE SER DEUDOR (POSITIVO),saldo_cuenta_bco.xml
8,CUENTAS CUYO SALDO DEBE SER ACREEDOR (NEGATIVO),saldo_cuenta_bco.xml
9,NO SE CUMPLE LA IGUALDAD 41 + 51 – 224005 = 0,saldo_cuenta_bco.xml
10,NO SE CUMPLE LA CONDICION; SALDO DE 1220 >= AL DE LA 321003,saldo_cuenta_bco.xml
11,NO SE CUMPLE LA CONDICION; SALDO DE 1250 >= AL DE LA 1259,saldo_cuenta_bco.xml
12,CÓDIGO DE CUENTA INCORRECTO,saldo_cuenta_bco.xml
13,CUENTAS QUE NO PERMITEN SALDO IGUAL A CERO,saldo_cuenta_bco.xml
14,BALANCE NO CUADRA,saldo_cuenta_bco.xml
15,LA ECUACIÓN PATRIMONIAL ES IGUAL A CERO,saldo_cuenta_bco.xml
16,SE REPITEN LOS DATOS DEL ENVIO ANTERIOR,saldo_cuenta_bco.xml
17,SALDO DE LA CUENTA Y SUBCUENTAS 313002 RESULTADOS DEL PRESENTE EJERCICIO DEBEN SER CERO,saldo_cuenta_bco.xml
18,SALDO QUE DEBE SER FIJO DE ENERO AL 30 DE DICIEMBRE,saldo_cuenta_bco.xml
19,NO SE HAN TRASLADADO LOS DATOS DE LOS DEPÓSITOS EN INSTITUCIONES EXTRANJERAS,deposito_bc_extranjero.xml
20,EXISTEN CÓDIGOS INVÁLIDOS DE INSTITUCIONES EXTRANJERAS DENTRO DE LA BASE,deposito_bc_extranjero.xml
21,DESCRIPCIÓN DE INSTITUCIÓN EXTRANJERA INCORRECTA,deposito_bc_extranjero.xml
22,EL PAÍS ASIGNADO A LA INSTITUCIÓN EXTRANJERA ES INCORRECTO,deposito_bc_extranjero.xml
23,CÓDIGOS DE INSTITUCIONES EXTRANJERAS REPETIDOS,deposito_bc_extranjero.xml
24,DESCRIPCIÓN DE INSTITUCIONES EXTRANJERAS REPETIDAS,deposito_bc_extranjero.xml
25,EL VALOR DE LOS DEPÓSITOS DEBE SER >=0,deposito_bc_extranjero.xml
26,SUMA DE LOS SALDOS EN LOS DEPÓSITOS EXTRANJEROS NO COINCIDE CON CUENTA 111007,deposito_bc_extranjero.xml
27,NO EXISTEN DATOS EN BASE DE INFORMACION EXTRACONTABLE,variable_extraconta_bco.xml
28,NÚMERO DE DATOS EXTRACONTABLES DIFIERE,variable_extraconta_bco.xml
29,CÓDIGO DE INFORMACIÓN EXTRACONTABLE ES INCORRECTO,variable_extraconta_bco.xml
30,DESCRIPCION DE LA INFORMACIÓN EXTRACONTABLE INCORRECTA,variable_extraconta_bco.xml
